"Time","yahoo"
"2004-01-01",36
"2004-02-01",36
"2004-03-01",36
"2004-04-01",37
"2004-05-01",38
"2004-06-01",44
"2004-07-01",43
"2004-08-01",43
"2004-09-01",45
"2004-10-01",43
"2004-11-01",45
"2004-12-01",45
"2005-01-01",45
"2005-02-01",47
"2005-03-01",46
"2005-04-01",47
"2005-05-01",54
"2005-06-01",53
"2005-07-01",53
"2005-08-01",55
"2005-09-01",56
"2005-10-01",55
"2005-11-01",56
"2005-12-01",56
"2006-01-01",58
"2006-02-01",57
"2006-03-01",60
"2006-04-01",58
"2006-05-01",59
"2006-06-01",65
"2006-07-01",67
"2006-08-01",66
"2006-09-01",66
"2006-10-01",67
"2006-11-01",62
"2006-12-01",64
"2007-01-01",63
"2007-02-01",67
"2007-03-01",67
"2007-04-01",63
"2007-05-01",69
"2007-06-01",68
"2007-07-01",69
"2007-08-01",71
"2007-09-01",69
"2007-10-01",68
"2007-11-01",72
"2007-12-01",71
"2008-01-01",68
"2008-02-01",69
"2008-03-01",69
"2008-04-01",68
"2008-05-01",71
"2008-06-01",74
"2008-07-01",77
"2008-08-01",78
"2008-09-01",82
"2008-10-01",82
"2008-11-01",93
"2008-12-01",83
"2009-01-01",80
"2009-02-01",84
"2009-03-01",87
"2009-04-01",84
"2009-05-01",84
"2009-06-01",87
"2009-07-01",83
"2009-08-01",89
"2009-09-01",95
"2009-10-01",94
"2009-11-01",90
"2009-12-01",87
"2010-01-01",86
"2010-02-01",83
"2010-03-01",85
"2010-04-01",89
"2010-05-01",89
"2010-06-01",100
"2010-07-01",85
"2010-08-01",89
"2010-09-01",93
"2010-10-01",87
"2010-11-01",87
"2010-12-01",85
"2011-01-01",87
"2011-02-01",92
"2011-03-01",91
"2011-04-01",87
"2011-05-01",88
"2011-06-01",88
"2011-07-01",87
"2011-08-01",90
"2011-09-01",91
"2011-10-01",86
"2011-11-01",82
"2011-12-01",85
"2012-01-01",84
"2012-02-01",82
"2012-03-01",86
"2012-04-01",83
"2012-05-01",85
"2012-06-01",80
"2012-07-01",80
"2012-08-01",83
"2012-09-01",82
"2012-10-01",87
"2012-11-01",91
"2012-12-01",89
"2013-01-01",85
"2013-02-01",84
"2013-03-01",87
"2013-04-01",84
"2013-05-01",80
"2013-06-01",81
"2013-07-01",79
"2013-08-01",79
"2013-09-01",78
"2013-10-01",71
"2013-11-01",68
"2013-12-01",66
"2014-01-01",61
"2014-02-01",60
"2014-03-01",61
"2014-04-01",61
"2014-05-01",59
"2014-06-01",62
"2014-07-01",62
"2014-08-01",60
"2014-09-01",63
"2014-10-01",60
"2014-11-01",59
"2014-12-01",61
"2015-01-01",51
"2015-02-01",52
"2015-03-01",53
"2015-04-01",51
"2015-05-01",49
"2015-06-01",48
"2015-07-01",54
"2015-08-01",54
"2015-09-01",54
"2015-10-01",49
"2015-11-01",47
"2015-12-01",45
"2016-01-01",42
"2016-02-01",40
"2016-03-01",40
"2016-04-01",38
"2016-05-01",39
"2016-06-01",40
"2016-07-01",39
"2016-08-01",40
"2016-09-01",40
"2016-10-01",37
"2016-11-01",37
"2016-12-01",35
"2017-01-01",35
"2017-02-01",35
"2017-03-01",34
"2017-04-01",35
"2017-05-01",35
"2017-06-01",36
"2017-07-01",35
"2017-08-01",38
"2017-09-01",38
"2017-10-01",36
"2017-11-01",35
"2017-12-01",35
"2018-01-01",34
"2018-02-01",36
"2018-03-01",33
"2018-04-01",33
"2018-05-01",30
"2018-06-01",29
"2018-07-01",30
"2018-08-01",31
"2018-09-01",30
"2018-10-01",29
"2018-11-01",27
"2018-12-01",28
"2019-01-01",26
"2019-02-01",27
"2019-03-01",25
"2019-04-01",27
"2019-05-01",26
"2019-06-01",27
"2019-07-01",26
"2019-08-01",29
"2019-09-01",28
"2019-10-01",27
"2019-11-01",26
"2019-12-01",26
"2020-01-01",27
"2020-02-01",27
"2020-03-01",31
"2020-04-01",29
"2020-05-01",31
"2020-06-01",29
"2020-07-01",30
"2020-08-01",28
"2020-09-01",29
"2020-10-01",29
"2020-11-01",28
"2020-12-01",29
"2021-01-01",29
"2021-02-01",30
"2021-03-01",28
"2021-04-01",28
"2021-05-01",29
"2021-06-01",28
"2021-07-01",26
"2021-08-01",28
"2021-09-01",28
"2021-10-01",27
"2021-11-01",28
"2021-12-01",28
"2022-01-01",24
"2022-02-01",24
"2022-03-01",24
"2022-04-01",23
"2022-05-01",24
"2022-06-01",24
"2022-07-01",23
"2022-08-01",25
"2022-09-01",23
"2022-10-01",23
"2022-11-01",22
"2022-12-01",23
"2023-01-01",21
"2023-02-01",24
"2023-03-01",23
"2023-04-01",22
"2023-05-01",22
"2023-06-01",22
"2023-07-01",23
"2023-08-01",22
"2023-09-01",22
"2023-10-01",22
"2023-11-01",20
"2023-12-01",21
"2024-01-01",20
"2024-02-01",18
"2024-03-01",18
"2024-04-01",17
"2024-05-01",17
"2024-06-01",17
"2024-07-01",17
"2024-08-01",17
"2024-09-01",17
"2024-10-01",16
"2024-11-01",14
"2024-12-01",15
"2025-01-01",15
"2025-02-01",15
"2025-03-01",15
"2025-04-01",15
"2025-05-01",14
"2025-06-01",14
"2025-07-01",14
"2025-08-01",14
"2025-09-01",14
"2025-10-01",14
"2025-11-01",14
"2025-12-01",13
"2026-01-01",13
"2026-02-01",12
"2026-03-01",13
"2026-04-01",14
"2026-05-01",12
"2026-06-01",13
"2026-07-01",12
"2026-08-01",12
"2026-09-01",12
